user_id,nickname,red_id,region,ip,tags,following,followers,likes_collects,followers_num,status,url,ts
542eb483d6e4a91d8852c1cf,我叫可爱诺～,116736969,北京,北京,北京朝阳,16,946,4074,946,ok,https://www.xiaohongshu.com/user/profile/542eb483d6e4a91d8852c1cf?xsec_token=YBptAccUjaTUk3Fd1AyEV4XGB-rWRWGYT6DWM1-Rc3QyI=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=Nzo0RUU5PDxKPUo2SkExSj47PjlHNklP&apptime=1787669558&share_id=02e242dc98084138a18d881f21302915,2026-08-31T09:03:16.288Z
54813093d6e4a91ec7fb6bcf,欧洲西兰花🥦,496431167,上海,上海,30岁|华东理工大学,95,106,9933,106,ok,https://www.xiaohongshu.com/user/profile/54813093d6e4a91ec7fb6bcf?xsec_token=YB5ldzA4QRU_pyu9S9UwQZRluRcLJbtsG7KNQ2O6p-il0=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=Nzo6MTY1PTxKPUo2SkExS0k6T0k6R0lP&apptime=1787724420&share_id=32a8bb5f04014f73921cf619558a151c,2026-08-31T09:03:16.289Z
54828e3e2e1d9320b11edc8f,呢啊娜娜娜,425392998,辽宁,辽宁,天蝎座,135,1786,1.9万,1786,ok,https://www.xiaohongshu.com/user/profile/54828e3e2e1d9320b11edc8f?xsec_token=YBZNHKViGpIGhvEMxD6m8HyaR8475OIGX3KGBnSDJEiKU%3D&xsec_source=app_share&shareRedId=Nzo6MjtKN044TDZGQjsyNkg0OkxISD5P&apptime=1786079524&share_id=62db4e0d37d84801885314ac1938ff20&share_channel=copy_link&appuid=54828e3e2e1d9320b11edc8f&xhsshare=CopyLink,2026-08-31T09:03:38.775Z
54f48530d39ea21129b525c4,两颗🍊,102943488,天津,天津,,,,,,ok,https://www.xiaohongshu.com/user/profile/54f48530d39ea21129b525c4?xsec_token=YBZhg9hnIwbNINAgBM9vA-Spencd9vpijYfJqO618oq5A=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=NzpINDs6NzlKOj5HSjoxNzg8Szw2Okk9&apptime=1776860509&share_id=a2fc43afb746455d9c8bf78671e86f7d,2026-08-31T08:35:26.918Z
55040618d39ea2559f1ae75b,小福馨🌟,239482214,江苏,江苏,,,,,,ok,https://www.xiaohongshu.com/user/profile/55040618d39ea2559f1ae75b?xsec_token=YBpyYh4io247KJpXRGNAleo8Ewix_RdBw3cz3r5K7ubKw%3D&xsec_source=app_share&shareRedId=NzsyNDM7NUFKOj5HSjo1Oz9JOkhJPDtL&apptime=1787651075&share_id=c6c6313e4b7242cbb20923ab5d653c3b&share_channel=copy_link&appuid=55040618d39ea2559f1ae75b&xhsshare=CopyLink,2026-08-31T08:35:29.422Z
55224bbfb203d9382e28b3a3,🍊橙C没事儿,119077312,浙江,浙江,31岁|中国|母婴博主,,,,,ok,https://www.xiaohongshu.com/user/profile/55224bbfb203d9382e28b3a3?xsec_token=YBg8cgtptaLonzFVivXv58t-qcLnc1Qbf7ZLJI41u7wD4=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=Nzs0MjdHRk9IOTU1TUEzPjhIOz9GOEc8&apptime=1787673275&share_id=cc1b8cef9e684d2784d87ac112ecd390,2026-08-31T08:35:43.939Z
556c2386c2bdeb620b77e9b7,是豆豆呀,zouzou1107_,湖南,湖南,|湖南长沙,,,,,ok,https://www.xiaohongshu.com/user/profile/556c2386c2bdeb620b77e9b7?xsec_token=YBKDffurwYHyi1YuCdL8lp_yBADjOaf09uGnkQdrMpdms=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=Nzs4QzU4PD9JOUdGTko2ODZFQD5JPkhA&apptime=1787715875&share_id=4c85b457e91745d380eaa0b220a0c386,2026-08-31T08:36:06.463Z
55588b5eb7ba227af191419b,起起起起起不来,104972892,天津,天津,|中国|美食博主,,,,,ok,https://www.xiaohongshu.com/user/profile/55588b5eb7ba227af191419b?xsec_token=YBOjpuDOXiAIqcXlkQr_FjE_triNE2ZWdvVXRhy53eC7c=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=Nzs3ODtHOU5IPkdDOzo3R0w0Qjg4Nj9L&apptime=1787714646&share_id=d8529366e91e4a1db9723af07e0afe6f,2026-08-31T08:36:06.463Z
5557601a67bc6555c09bfb7a,维多多1983,94160575623,吉林,吉林,|母婴博主,,,,,ok,https://www.xiaohongshu.com/user/profile/5557601a67bc6555c09bfb7a?xsec_token=YBgNOYV4N2IJHEtOeovzCF-cqxR5B_p-NfJpRpkJKDtTI=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=Nzs3Nzk1NUo8PkdFPz01O0kzQklKRz1K&apptime=1787665624&share_id=bf14ccb75df64999adcf9ef08b39d726,2026-08-31T08:36:06.462Z
559e13c867bc657306d9fce8,可可西里的猫,299289656,天津,天津,,,,,,ok,https://www.xiaohongshu.com/user/profile/559e13c867bc657306d9fce8?xsec_token=YBTrxPrYf9euxRoDdJPyAQb7qFdWItW_JUcg8plCn8f9w%3D&xsec_source=app_share&shareRedId=Nzs7RTQ4R0E8PkdFPz03OTY5TUBKSEtB&apptime=1787722383&share_id=77bf483a85b14dd3a14cab0c3ba1b95b&share_channel=copy_link&appuid=559e13c867bc657306d9fce8&xhsshare=CopyLink,2026-08-31T08:36:25.933Z
55751fbbf5a2635fb445b40c,稳稳崽,102977482,浙江,浙江,处女座|浙江温州,,,,,ok,https://www.xiaohongshu.com/user/profile/55751fbbf5a2635fb445b40c?xsec_token=YBNsKakyCgQ53H4l-phnH2PmQMatFIC3kBXtmBv_8LYLY=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=Nzs5NTRLRktMPEY0Pzs1TEg3PTxGOTZM&apptime=1787667258&share_id=8a087bf300ac4e3492f6d1ca10038964,2026-08-31T08:36:25.223Z
55717b3e22cfcd5c71d9c27e,郁李（孕晚期）,496214467,浙江,浙江,|浙江杭州|母婴博主,,,,,ok,https://www.xiaohongshu.com/user/profile/55717b3e22cfcd5c71d9c27e,2026-08-31T08:36:27.066Z
55a47c2bc2bdeb40d137c1d7,嘉苒长乐,419220834,天津,天津,射手座|中国|母婴博主,,,,,ok,https://www.xiaohongshu.com/user/profile/55a47c2bc2bdeb40d137c1d7?xsec_token=YB7qHuap5l3DUR3Rd316Y-rUKgxnu494v_MGeOe8I_0IE%3D&xsec_source=app_share&shareRedId=NztDNDpINktJOUdGTko0Nko0PD5HNkpA&apptime=1775630967&share_id=58093c368e984f459390754f12e204cf&share_channel=copy_link&appuid=55a47c2bc2bdeb40d137c1d7&xhsshare=CopyLink,2026-08-31T08:36:33.639Z
55a703b33397db526f76aefe,鲤鱼麻麻✨,104255831,江苏,江苏,天蝎座,,,,,ok,https://www.xiaohongshu.com/user/profile/55a703b33397db526f76aefe?xsec_token=YBfPw3D0aHk5mVz-A6mlSUu7CqVbMXnJO6n0oF6vDvTyo=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=NztDNzM4Rjw5Oj45TUo1ODxJQD1FSkxO&apptime=1787713974&share_id=47d13dcaf5b34c7a9109fb3429d90b87,2026-08-31T08:36:51.568Z
55ab3af9b7ba220eb69ce033,小泡总吖,paopao102,四川,四川,|中国|母婴博主,,,,,ok,https://www.xiaohongshu.com/user/profile/55ab3af9b7ba220eb69ce033?xsec_token=YB7YnkqKGFH5dpBIfFteygAsstg1ne-C7JKHkU0vv2EZ4=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=NztDQjZGSkJIPkdDOzowS0g5QkpJNTk8&apptime=1787761320&share_id=1e85b8fbdac14e8c911ad4fcdea90570,2026-08-31T08:36:51.843Z
